Lexical item;Level;Topic 1;Subtopic 1
¿Cómo estás? ;A1-A2;Relaciones sociales;Saludos
¿Qué hora es?;A1-A2;Fecha y hora;Hora
A cobro revertido;B2;Comunicación;Comunicación personal
A fuego lento;B2;Alimentación;Alimentación nutritiva
A la derecha;A1-A2;Información y medios de comunicación;Localización
A la derecha;A1-A2;Trabajo;En la oficina
A la derecha de;A1-A2;Información y medios de comunicación;Localización
A la derecha de;A1-A2;Trabajo;En la oficina
A la izquierda;A1-A2;Información y medios de comunicación;Localización
A la izquierda;A1-A2;Trabajo;En la oficina
A la izquierda de;A1-A2;Información y medios de comunicación;Localización
A la izquierda de;A1-A2;Trabajo;En la oficina
A la plancha;A1-A2;Alimentación;En el restaurante
A pie ;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
A tiempo completo;A1-A2;Trabajo;Profesiones
A tiempo parcial;A1-A2;Trabajo;Profesiones
Abdominales;B1;Salud y cuidados personales;El cuerpo humano y la salud
Abeja ;B1;Geografía y naturaleza;En el campo
Abierto;A1-A2;Individuo y relaciones personales;Carácter
Abogado;A1-A2;Trabajo;Profesiones
Abogado criminalista;B2;Justicia;Ley y orden
Abogado defensor;B2;Justicia;Ley y orden
Abogado defensor ;B1;Justicia;En el juzgado
Abono orgánico;B2;Medioambiente;Problemas medioambientales
Abrigo ;A1-A2;Compras y tiendas;Ropa
Abril;A1-A2;Fecha y hora;Meses
Abrir una cuenta;B1;Medios de comunicación;Internet
Abrocharse;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Abrocharse el cinturón;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Abstracto;B1;Artes;Arquitectura, escultura, pintura
Abstracto;B2;Artes;Artes plásticas
Abuelo;A1-A2;Individuo y relaciones personales;Familia
Abundancia;B2;Alimentación;Alimentación nutritiva
Abundancia de;B2;Alimentación;Alimentación nutritiva
Aburrido ;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Aburrimiento ;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Aburrirse;B1;Ocio;Tiempo libre y entretenimiento
Aburrirse ;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Academia;A1-A2;Educación;Objetos y acciones del aula
Acceder;B1;Medios de comunicación;Internet
Accidente de tráfico;B1;Viajes, alojamiento y transporte;La conducción
Acciones;B2;Economía;Economía y finanzas
Accionista;B2;Economía;Economía y finanzas
Aceite;A1-A2;Alimentación;Alimentos
Aceite de oliva;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceite vegetal;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceitera;A1-A2;Alimentación;Utensilios de cocina y de mesa
Aceituna;A1-A2;Alimentación;Alimentos
Aceituna;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceitunas;A1-A2;Alimentación;En el restaurante
Acelerar ;B1;Viajes, alojamiento y transporte;La conducción
Acera;A1-A2;Ciudad;Ciudad
Acertar;B2;Ocio;Juegos y pasatiempos
Ácido;B1;Alimentación;Alimentación sana / menús, platos, recetas
Acierto;B2;Ocio;Juegos y pasatiempos
Acorde con sus capacidades;B2;Trabajo;Actividad laboral
Acostarse;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Actitud;B2;Individuo y relaciones personales;Valores y comportamientos personales
Actividad ;A1-A2;Educación;Objetos y acciones del aula
Acto;B1;Artes;Literatura
Acto;B2;Artes;Literatura y teatro
Actor;A1-A2;Ocio;Aficiones y espectáculos
Actor;B1;Artes;Cine
Actor;B2;Artes;Literatura y teatro
Actor ;A1-A2;Trabajo;Profesiones
Actriz;A1-A2;Trabajo;Profesiones
Actriz;B2;Artes;Literatura y teatro
Actriz ;B1;Artes;Cine
Acuarela ;B2;Artes;Artes plásticas
Acuario;B1;Geografía y naturaleza;Safari fotográfico
Acuíferos ;B2;Medioambiente;Problemas medioambientales
Acusado;B1;Justicia;En el juzgado
Acusar;B2;Justicia;Ley y orden
Acusar ;B1;Justicia;En el juzgado
Acuse de recibo;B2;Comunicación;Comunicación personal
Acuse de recibo ;B1;Servicios;Servicio postal
Adelgazar;B1;Salud y cuidados personales;El cuerpo humano y la salud
Adiós ;A1-A2;Relaciones sociales;Saludos
Aditivos ;B2;Medioambiente;Problemas medioambientales
Adjuntar;B1;Medios de comunicación;Internet
Administrativo;A1-A2;Trabajo;Profesiones
Admiración;B2;Individuo y relaciones personales;Valores y comportamientos personales
Adolescencia ;B1;Individuo y relaciones personales;Relaciones personales
Adolescente;B1;Individuo y relaciones personales;Relaciones personales
Adoptado ;B2;Individuo y relaciones personales;Relaciones familiares
Adoptar ;B1;Individuo y relaciones personales;Relaciones personales
Adorar;B2;Individuo y relaciones personales;Valores y comportamientos personales
Adquirir experiencia;B1;Trabajo;Trabajo
ADSL;B2;Comunicación;Comunicación personal
Adulto ;B1;Individuo y relaciones personales;Relaciones personales
Aeropuerto;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Afeitarse;A1-A2;Salud e higiene;Cuerpo e higiene personal
Afeitarse;B1;Salud y cuidados personales;El cuerpo humano y la salud
Afición;B1;Ocio;Tiempo libre y entretenimiento
Aficionado;B1;Ocio;Tiempo libre y entretenimiento
Aficionado;B2;Ocio;Deportes
Aficionado ;B1;Ocio;Deportes de equipo
Agenda;A1-A2;Trabajo;En la oficina
Agente;B2;Justicia;Ley y orden
Agobiado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Agobiarse;B2;Individuo y relaciones personales;Valores y comportamientos personales
Agosto;A1-A2;Fecha y hora;Meses
Agotar ;B2;Medioambiente;Problemas medioambientales
Agradable;A1-A2;Individuo y relaciones personales;Carácter
Agrio;B2;Individuo y relaciones personales;Sensaciones y percepciones
Agua;A1-A2;Geografía y naturaleza;Accidentes geográficos
Agua ;B1;Vivienda;Vivienda
Agua mineral;A1-A2;Alimentación;En el restaurante
Agua oxigenada;B1;Salud y cuidados personales;En el hospital
Águila;B1;Geografía y naturaleza;Safari fotográfico
Agujero;B1;Medioambiente;Problemas medioambientales
Ahorro;B1;Medioambiente;Problemas medioambientales
Ahorros;B2;Economía;Economía y finanzas
Aire acondicionado;A1-A2;Viajes, transportes y alojamiento;En el hotel
Ajo;A1-A2;Alimentación;Alimentos
Al contado;B2;Vivienda;La vivienda
Al dedillo;B2;Educación;Educación
Al lado;A1-A2;Información y medios de comunicación;Localización
Al lado ;A1-A2;Trabajo;En la oficina
Al lado de;A1-A2;Información y medios de comunicación;Localización
Al lado de;A1-A2;Trabajo;En la oficina
Al vapor;B2;Alimentación;Alimentación nutritiva
Ala delta;B1;Ocio;Deportes de invierno y aventura
Alarma;B2;Compras y tiendas;De compras
Alarma ;B2;Justicia;Ley y orden
Albahaca;B2;Alimentación;Alimentación nutritiva
Albañil;A1-A2;Trabajo;Profesiones
